Year,Quarter,Month,DayOfWeek,Reporting_Airline,CancelledFlights,DivertedFlights,TotalFlights,DepartureDelayedFlights,ArrivalDelayedFlights,TotalDepDelay_gt_15M,TotalArrDelay_gt_15M,TotalDepDelay,TotalArrDelay,TotalDepDelayMinutes,TotalArrDelayMinutes,TotalCarrierDelay,TotalWeatherDelay,TotalNASDelay,TotalSecurityDelay,TotalLateAircraftDelay
2022,1,2,4,OO,786.0,32.0,1071,1542.0,1746.0,149766.0,159327.0,130613.0,100356.0,155796.0,166544.0,74097.0,32915.0,7570.0,121.0,44624.0
2022,2,5,4,HA,0.0,1.0,73,98.0,95.0,2731.0,2678.0,2406.0,813.0,4232.0,4401.0,1645.0,100.0,0.0,18.0,915.0
2022,2,5,5,NK,98.0,9.0,454,708.0,794.0,44749.0,50492.0,41448.0,41221.0,47373.0,53503.0,10474.0,5357.0,23512.0,204.0,10945.0
2022,2,6,4,OO,44.0,13.0,1198,1629.0,1699.0,130590.0,129332.0,96770.0,43322.0,138279.0,139762.0,84787.0,9394.0,4444.0,200.0,30507.0
2022,3,9,1,UA,18.0,16.0,733,782.0,867.0,57325.0,62310.0,38585.0,-8471.0,63740.0,67664.0,17962.0,5031.0,16569.0,0.0,22748.0
2022,3,9,3,G4,22.0,0.0,54,23.0,27.0,2032.0,2181.0,1503.0,1353.0,2212.0,2389.0,157.0,1363.0,311.0,10.0,340.0
2023,4,10,5,NK,107.0,2.0,482,724.0,642.0,45193.0,40927.0,41782.0,19219.0,49019.0,43917.0,14364.0,735.0,12358.0,354.0,13116.0
2023,4,10,5,UA,15.0,12.0,744,1088.0,1168.0,62464.0,60003.0,37829.0,-20950.0,70143.0,67931.0,20859.0,608.0,12943.0,0.0,25593.0
2023,4,11,5,AA,2.0,7.0,839,1398.0,1457.0,108444.0,105559.0,83054.0,17883.0,117478.0,115642.0,51651.0,230.0,11370.0,442.0,41866.0
2023,4,11,7,NK,13.0,1.0,514,983.0,932.0,57414.0,56147.0,54606.0,39068.0,61562.0,60128.0,17063.0,375.0,20894.0,689.0,17126.0
2023,4,12,3,UA,4.0,10.0,790,1167.0,1229.0,75235.0,75913.0,51704.0,-1543.0,81307.0,82670.0,22454.0,364.0,23082.0,65.0,29948.0
2023,2,4,6,NK,109.0,14.0,472,1577.0,1564.0,127870.0,129564.0,124075.0,116314.0,131705.0,133684.0,33647.0,7125.0,51286.0,1343.0,36163.0
2023,3,7,4,AA,61.0,38.0,848,2904.0,2981.0,274168.0,272469.0,257442.0,204517.0,285740.0,284988.0,99587.0,5010.0,26822.0,260.0,140790.0
2024,4,10,4,NK,184.0,3.0,508,665.0,636.0,39444.0,37974.0,27968.0,1620.0,42446.0,40562.0,10803.0,153.0,18108.0,79.0,8831.0
2024,2,4,1,NK,8.0,10.0,522,718.0,680.0,45073.0,41662.0,33907.0,5384.0,48545.0,44800.0,12557.0,1579.0,12935.0,235.0,14356.0
2024,2,6,5,OO,64.0,15.0,1054,1696.0,1899.0,143502.0,147499.0,117837.0,99771.0,150042.0,157581.0,86595.0,15666.0,19701.0,32.0,25505.0
2024,2,6,2,WN,41.0,57.0,1436,4617.0,4154.0,292333.0,280532.0,295173.0,207018.0,318965.0,300071.0,68539.0,8530.0,43661.0,428.0,159374.0
2024,3,7,7,WN,152.0,89.0,1632,6085.0,5409.0,356059.0,330300.0,366227.0,275226.0,384747.0,352903.0,99877.0,9598.0,43803.0,651.0,176371.0
2020,1,1,5,AA,333.0,40.0,754,2221.0,2438.0,159123.0,164687.0,133295.0,61637.0,172399.0,179443.0,57123.0,12533.0,35572.0,457.0,59002.0
2020,1,1,1,G4,0.0,1.0,394,207.0,222.0,15037.0,15597.0,8627.0,5333.0,16140.0,17030.0,6829.0,896.0,2029.0,15.0,5828.0
2020,4,10,7,B6,2.0,2.0,297,162.0,198.0,11253.0,11680.0,1929.0,-6215.0,12057.0,12974.0,5458.0,224.0,2097.0,10.0,3891.0
2021,1,1,5,WN,88.0,6.0,930,631.0,587.0,26007.0,23857.0,4312.0,-79869.0,33727.0,30105.0,10477.0,548.0,6614.0,60.0,6158.0
2021,1,1,7,B6,61.0,3.0,340,386.0,556.0,24952.0,31600.0,18309.0,20436.0,27064.0,34215.0,12942.0,645.0,9169.0,90.0,8754.0
2021,4,12,2,OO,408.0,34.0,1182,1751.0,1820.0,159672.0,166136.0,142704.0,103434.0,166637.0,173852.0,96944.0,32254.0,3203.0,15.0,33720.0
2021,1,2,6,OH,14.0,0.0,189,97.0,129.0,7001.0,7866.0,574.0,-6605.0,7635.0,9055.0,2994.0,281.0,2074.0,81.0,2436.0
2021,2,6,7,QX,25.0,4.0,206,227.0,244.0,12217.0,12309.0,10605.0,7293.0,14032.0,14522.0,4652.0,139.0,1667.0,13.0,5838.0
2021,3,9,5,UA,74.0,19.0,636,1147.0,1118.0,82621.0,80260.0,73127.0,31310.0,89784.0,85797.0,23510.0,5992.0,17197.0,0.0,33561.0
2022,3,8,2,QX,1.0,0.0,109,95.0,115.0,4581.0,4853.0,1722.0,-1137.0,5618.0,6108.0,2499.0,0.0,674.0,127.0,1553.0
2020,2,4,1,WN,7235.0,1.0,1279,233.0,222.0,9296.0,8190.0,-15113.0,-78701.0,11340.0,10577.0,4600.0,131.0,2222.0,65.0,1172.0
2020,2,4,2,B6,151.0,1.0,181,18.0,13.0,715.0,513.0,-4922.0,-13931.0,853.0,672.0,329.0,25.0,77.0,0.0,82.0
2023,1,3,5,9E,58.0,12.0,292,378.0,425.0,37606.0,38954.0,28462.0,11471.0,39198.0,41016.0,11557.0,8843.0,6355.0,0.0,12199.0
2023,2,6,7,OO,83.0,19.0,1036,1229.0,1330.0,113587.0,115819.0,90832.0,61440.0,119113.0,123433.0,74021.0,15054.0,4983.0,99.0,21662.0
2022,2,5,7,AS,144.0,4.0,310,512.0,563.0,29471.0,31087.0,21799.0,12697.0,32950.0,34882.0,14345.0,980.0,8066.0,227.0,7469.0
2023,4,11,2,YX,2.0,3.0,393,147.0,214.0,8133.0,9803.0,-8997.0,-30637.0,9203.0,11805.0,3641.0,143.0,3416.0,2.0,2601.0
2023,1,1,6,UA,11.0,9.0,719,1201.0,1198.0,73610.0,73664.0,57357.0,10944.0,81118.0,80464.0,26698.0,3556.0,17498.0,0.0,25912.0
2020,2,5,2,G4,318.0,0.0,130,,,0.0,0.0,,,,,,,,,
2021,2,4,6,NK,4.0,4.0,344,401.0,494.0,24696.0,28963.0,20949.0,18708.0,26808.0,31414.0,7304.0,1716.0,13573.0,155.0,6215.0
2021,1,1,1,YV,15.0,1.0,279,138.0,164.0,11130.0,11253.0,4357.0,-7923.0,11802.0,12325.0,3487.0,3032.0,2468.0,1.0,2265.0
2022,1,3,5,G4,125.0,5.0,470,652.0,751.0,42832.0,49665.0,39420.0,45187.0,45146.0,52347.0,10706.0,2850.0,13785.0,50.0,22274.0
2022,2,4,1,DL,1.0,18.0,753,1692.0,1629.0,105896.0,101196.0,95407.0,25649.0,117749.0,111088.0,51843.0,3605.0,14421.0,129.0,31198.0
2022,2,5,2,WN,106.0,25.0,1318,3844.0,3016.0,144805.0,118403.0,149887.0,13398.0,177373.0,140629.0,48992.0,2040.0,17559.0,349.0,49463.0
2022,3,7,3,OO,42.0,34.0,1038,1065.0,1133.0,86352.0,85885.0,61012.0,20998.0,91532.0,92679.0,52373.0,8260.0,6080.0,0.0,19172.0
2023,4,11,5,NK,14.0,3.0,513,784.0,724.0,54253.0,50075.0,50121.0,29181.0,58252.0,53631.0,16387.0,72.0,11703.0,533.0,21380.0
2023,1,2,5,9E,19.0,2.0,302,510.0,582.0,45128.0,47677.0,39533.0,27784.0,46567.0,49545.0,10675.0,2155.0,15749.0,0.0,19098.0
2023,2,6,5,AS,17.0,13.0,326,1075.0,1155.0,61568.0,62567.0,54586.0,45123.0,66229.0,67610.0,20007.0,1828.0,12920.0,315.0,27497.0
2024,1,1,3,F9,25.0,5.0,389,422.0,454.0,37296.0,36716.0,28542.0,15684.0,38936.0,38336.0,12553.0,693.0,5074.0,0.0,18396.0
2024,1,1,4,AS,480.0,22.0,324,541.0,541.0,31209.0,30942.0,26825.0,18171.0,33899.0,33569.0,9216.0,846.0,6017.0,223.0,14640.0
2024,4,10,1,OO,25.0,20.0,1109,1268.0,1337.0,97348.0,95296.0,58073.0,13607.0,102888.0,102535.0,64121.0,6123.0,6678.0,99.0,18275.0
2024,4,12,3,9E,11.0,10.0,328,483.0,528.0,40121.0,41275.0,32439.0,20328.0,41454.0,42930.0,8274.0,1926.0,9218.0,0.0,21857.0
2024,4,12,3,B6,52.0,5.0,267,590.0,648.0,34863.0,37372.0,26929.0,16270.0,37105.0,40010.0,10967.0,157.0,11107.0,5.0,15136.0
2024,4,12,5,G4,15.0,7.0,486,517.0,524.0,51225.0,50202.0,44503.0,35125.0,53035.0,51972.0,17170.0,5350.0,8902.0,101.0,18679.0
2024,4,12,6,9E,35.0,6.0,334,419.0,441.0,38537.0,39839.0,32912.0,20434.0,39937.0,41253.0,10224.0,3418.0,7508.0,82.0,18607.0
2024,2,4,1,F9,31.0,4.0,504,897.0,854.0,72042.0,69120.0,64364.0,47379.0,74999.0,72196.0,15575.0,807.0,8949.0,0.0,43789.0
2024,2,5,1,9E,91.0,10.0,310,377.0,380.0,29812.0,31512.0,22525.0,9853.0,31191.0,33096.0,6554.0,2574.0,9575.0,17.0,12792.0
2020,1,2,7,YV,3.0,4.0,340,279.0,294.0,27626.0,26775.0,17869.0,3302.0,29044.0,28634.0,15079.0,524.0,2852.0,0.0,8320.0
2020,3,7,2,B6,50.0,1.0,171,89.0,105.0,4971.0,5253.0,-5073.0,-10954.0,5392.0,5837.0,2278.0,1127.0,732.0,17.0,1099.0
2020,3,8,1,DL,28.0,43.0,513,734.0,929.0,48141.0,53157.0,20875.0,-2404.0,52207.0,60194.0,21289.0,2491.0,14176.0,272.0,14929.0
2020,3,9,6,OH,1.0,1.0,239,99.0,120.0,4629.0,4842.0,-4593.0,-9068.0,5255.0,6387.0,2104.0,161.0,1199.0,122.0,1256.0
2020,3,9,4,F9,2.0,1.0,281,93.0,81.0,5619.0,4893.0,-1048.0,-11088.0,6298.0,5586.0,1694.0,86.0,1033.0,0.0,2080.0
2020,3,9,4,WN,26.0,7.0,1000,767.0,613.0,43971.0,36597.0,26861.0,-50362.0,51071.0,41519.0,17778.0,410.0,2179.0,103.0,16127.0
2021,1,1,5,B6,9.0,1.0,249,178.0,261.0,10523.0,12690.0,4010.0,2122.0,11701.0,14799.0,6470.0,404.0,3109.0,82.0,2625.0
2021,4,11,4,NK,1.0,2.0,497,292.0,284.0,17114.0,16174.0,10817.0,-3810.0,19255.0,18459.0,5056.0,50.0,5925.0,96.0,5047.0
2021,2,5,1,QX,22.0,2.0,185,156.0,169.0,8937.0,9036.0,4286.0,-985.0,10034.0,10476.0,4221.0,443.0,1108.0,0.0,3264.0
2021,2,6,5,F9,31.0,3.0,461,494.0,511.0,31165.0,32265.0,25922.0,19481.0,32709.0,34052.0,8711.0,1789.0,9232.0,0.0,12533.0
2021,2,6,2,NK,13.0,9.0,390,557.0,607.0,35397.0,37953.0,31750.0,23737.0,38166.0,40851.0,7441.0,4383.0,15393.0,369.0,10367.0
2021,3,8,1,WN,552.0,56.0,1440,5573.0,4606.0,269026.0,227449.0,276978.0,155479.0,297539.0,249456.0,85533.0,8276.0,23401.0,363.0,109876.0
2020,2,4,5,DL,965.0,3.0,560,129.0,181.0,8632.0,10133.0,-4406.0,-14338.0,9584.0,12282.0,6494.0,317.0,2686.0,0.0,636.0
2023,1,3,2,WN,246.0,24.0,1350,3148.0,2854.0,154239.0,144849.0,145881.0,56849.0,176424.0,163153.0,39052.0,4236.0,32121.0,569.0,68871.0
2022,2,6,7,AA,359.0,31.0,753,3172.0,3215.0,255003.0,256038.0,246758.0,207128.0,266345.0,267433.0,102511.0,8882.0,31924.0,188.0,112533.0
2024,4,11,3,G4,0.0,4.0,474,129.0,133.0,8623.0,8617.0,4329.0,382.0,9307.0,9252.0,1998.0,438.0,2416.0,19.0,3746.0
2021,4,12,2,YX,14.0,11.0,479,441.0,547.0,25367.0,28985.0,12238.0,-3127.0,28197.0,32763.0,9637.0,2009.0,8818.0,48.0,8473.0
2021,3,9,1,YV,33.0,3.0,281,183.0,182.0,10903.0,10033.0,5250.0,-5718.0,12120.0,11752.0,4399.0,523.0,1242.0,0.0,3869.0
2020,2,6,4,YV,1.0,2.0,131,47.0,75.0,2165.0,2807.0,-687.0,-1959.0,2468.0,3512.0,959.0,352.0,1463.0,0.0,33.0
2020,3,7,1,G4,12.0,4.0,433,157.0,166.0,16158.0,16638.0,1619.0,-3400.0,16836.0,17557.0,7613.0,1514.0,1225.0,31.0,6255.0
2022,1,1,4,YV,179.0,1.0,252,236.0,236.0,20604.0,19843.0,17186.0,7555.0,21702.0,21059.0,12103.0,222.0,3025.0,0.0,4493.0
2022,4,10,7,G4,52.0,3.0,440,553.0,591.0,35854.0,36511.0,30418.0,26609.0,38773.0,39351.0,16658.0,353.0,4320.0,85.0,15095.0
2022,1,2,4,DL,519.0,13.0,741,1317.0,1420.0,79970.0,83669.0,66172.0,4283.0,90186.0,92816.0,37649.0,9023.0,20539.0,31.0,16427.0
2022,1,2,6,YV,40.0,2.0,281,287.0,265.0,25127.0,23181.0,23470.0,12520.0,26574.0,24370.0,15111.0,526.0,2627.0,51.0,4866.0
2022,1,3,7,OH,26.0,8.0,315,515.0,496.0,46163.0,44088.0,38726.0,24214.0,48557.0,46616.0,16604.0,1729.0,3182.0,53.0,22520.0
2022,1,3,2,DL,1.0,5.0,753,1394.0,1328.0,87945.0,81429.0,67227.0,-35196.0,99841.0,92278.0,44281.0,5106.0,11246.0,47.0,20749.0
2022,2,6,6,NK,29.0,3.0,451,678.0,643.0,43775.0,41576.0,39947.0,25171.0,46422.0,44046.0,13532.0,1730.0,13677.0,349.0,12288.0
2023,4,10,1,B6,3.0,10.0,366,1109.0,1052.0,96914.0,88339.0,88709.0,59142.0,101044.0,91969.0,49792.0,46.0,5779.0,75.0,32647.0
2023,4,10,4,F9,15.0,4.0,400,654.0,662.0,46170.0,44504.0,40114.0,29396.0,48564.0,47183.0,12560.0,191.0,5991.0,0.0,25762.0
2023,1,3,6,OO,101.0,24.0,1021,1157.0,1338.0,92658.0,96547.0,72679.0,47837.0,98368.0,103945.0,54815.0,16663.0,4729.0,91.0,20249.0
2023,1,3,3,NK,26.0,5.0,456,1081.0,1074.0,67690.0,67952.0,63262.0,48508.0,71858.0,72530.0,20162.0,813.0,27210.0,757.0,19010.0
2023,2,4,4,WN,336.0,41.0,1360,5186.0,4823.0,253893.0,243924.0,260738.0,190839.0,281277.0,266236.0,65977.0,5978.0,46858.0,774.0,124337.0
2023,3,7,1,WN,113.0,49.0,1378,6776.0,6082.0,334772.0,315866.0,344278.0,248738.0,371411.0,345329.0,86533.0,7267.0,51895.0,489.0,169682.0
2023,3,9,2,B6,48.0,23.0,372,677.0,656.0,52419.0,49292.0,42207.0,21992.0,54876.0,51402.0,22507.0,1280.0,7392.0,115.0,17998.0
2024,1,1,6,F9,36.0,4.0,348,465.0,521.0,37670.0,40195.0,30926.0,26520.0,38892.0,41741.0,10083.0,2793.0,7683.0,0.0,19636.0
2024,3,8,3,B6,50.0,11.0,307,712.0,695.0,57695.0,56691.0,50198.0,34881.0,59937.0,59087.0,24315.0,3375.0,7969.0,20.0,21012.0
2024,3,8,1,MQ,58.0,13.0,462,608.0,572.0,32583.0,32295.0,24097.0,7973.0,35335.0,35888.0,9941.0,2302.0,5993.0,97.0,13962.0
2024,3,9,2,WN,14.0,16.0,1316,1365.0,1145.0,48189.0,41463.0,28309.0,-74668.0,65058.0,53650.0,14650.0,1276.0,10084.0,26.0,15427.0
2020,1,1,4,UA,7.0,8.0,626,1069.0,1126.0,75938.0,73830.0,48121.0,-13389.0,81396.0,80428.0,17464.0,810.0,24502.0,0.0,31054.0
2020,1,2,1,MQ,9.0,5.0,410,378.0,476.0,23160.0,26092.0,9002.0,-6304.0,25441.0,29407.0,9477.0,1127.0,6149.0,27.0,9312.0
2020,3,8,1,AS,6.0,5.0,165,98.0,160.0,4197.0,5790.0,-6587.0,-6710.0,5047.0,7544.0,2073.0,243.0,2047.0,119.0,1308.0
2020,3,8,5,AS,7.0,2.0,164,71.0,117.0,2799.0,4308.0,-6339.0,-4661.0,3316.0,5918.0,1450.0,189.0,1768.0,160.0,741.0
2020,3,9,4,DL,14.0,2.0,518,283.0,285.0,16811.0,16200.0,-6875.0,-38112.0,19310.0,20547.0,10876.0,302.0,2296.0,110.0,2616.0
2021,3,8,1,UA,112.0,20.0,588,1446.0,1549.0,97137.0,100254.0,86342.0,63249.0,106332.0,109918.0,25282.0,11705.0,27632.0,0.0,35635.0
2021,3,7,2,YX,101.0,28.0,542,570.0,681.0,39813.0,42865.0,27819.0,12326.0,42645.0,46755.0,14629.0,2662.0,9290.0,61.0,16223.0
2021,3,8,6,9E,0.0,6.0,327,244.0,281.0,15470.0,16228.0,7603.0,-9065.0,17076.0,18177.0,7650.0,1154.0,3417.0,12.0,3995.0
2024,4,11,4,OH,0.0,0.0,296,284.0,390.0,17201.0,19574.0,7402.0,-1127.0,19422.0,22439.0,7314.0,610.0,4579.0,20.0,7051.0
2020,1,2,6,F9,9.0,0.0,336,272.0,231.0,15920.0,13150.0,6679.0,-13772.0,17417.0,14453.0,4946.0,33.0,2568.0,0.0,5603.0
2022,4,10,7,AS,20.0,4.0,314,426.0,459.0,19913.0,19901.0,9672.0,-7218.0,23554.0,23905.0,8361.0,567.0,5183.0,176.0,5614.0
2022,1,1,4,G4,78.0,3.0,396,306.0,372.0,19536.0,22458.0,12398.0,13161.0,21003.0,24378.0,7117.0,2198.0,4489.0,0.0,8654.0
2022,4,12,1,YV,9.0,2.0,211,262.0,281.0,25148.0,24946.0,23267.0,18781.0,26083.0,26109.0,11654.0,946.0,2787.0,0.0,9559.0
2022,1,2,7,F9,25.0,1.0,379,529.0,532.0,32950.0,33602.0,28812.0,22496.0,34676.0,35353.0,9794.0,487.0,8697.0,0.0,14624.0
2022,1,3,6,G4,175.0,8.0,393,582.0,663.0,47606.0,54391.0,44471.0,50393.0,49006.0,55953.0,12226.0,1009.0,17268.0,166.0,23722.0
2022,2,4,6,WN,597.0,57.0,1539,4413.0,3753.0,294390.0,269380.0,300505.0,209107.0,316418.0,285874.0,97222.0,6444.0,33569.0,310.0,131835.0
2022,3,9,3,NK,163.0,11.0,400,480.0,552.0,33962.0,35950.0,27030.0,16212.0,36060.0,38411.0,7582.0,2440.0,16181.0,162.0,9585.0
2022,3,9,1,YX,53.0,5.0,476,536.0,741.0,36156.0,45313.0,22206.0,16981.0,38292.0,48683.0,9535.0,3209.0,18777.0,68.0,13724.0
2023,4,10,2,9E,0.0,2.0,290,205.0,210.0,12395.0,11300.0,-1767.0,-36600.0,13611.0,12381.0,6317.0,446.0,1580.0,0.0,2957.0
2023,2,4,5,YX,0.0,5.0,392,355.0,396.0,18941.0,18898.0,1804.0,-25475.0,20668.0,22101.0,6873.0,266.0,4188.0,0.0,7571.0
2023,3,9,6,F9,55.0,1.0,400,655.0,656.0,48218.0,47233.0,40151.0,27811.0,50633.0,49644.0,14957.0,362.0,6244.0,0.0,25670.0
2024,1,3,2,MQ,1.0,2.0,370,328.0,353.0,15489.0,15641.0,6996.0,-8129.0,17401.0,18280.0,5154.0,422.0,3267.0,93.0,6705.0
2024,2,6,1,G4,2.0,5.0,515,495.0,493.0,42682.0,42758.0,34331.0,26849.0,44594.0,44685.0,18526.0,3898.0,4538.0,239.0,15557.0
2024,2,6,4,UA,128.0,35.0,755,2148.0,2189.0,160836.0,155399.0,146779.0,95727.0,170222.0,163775.0,48500.0,4166.0,30915.0,0.0,71818.0
2024,3,7,2,9E,35.0,11.0,280,652.0,675.0,57144.0,60329.0,48190.0,34813.0,59050.0,62180.0,14721.0,3175.0,15481.0,0.0,26952.0
2020,1,1,2,YX,4.0,6.0,469,333.0,385.0,19515.0,20008.0,-2162.0,-33879.0,21037.0,22859.0,6227.0,546.0,6015.0,0.0,7220.0
2020,4,12,2,OH,3.0,2.0,242,141.0,164.0,13007.0,12821.0,971.0,-10584.0,13759.0,14708.0,5171.0,1338.0,1497.0,0.0,4815.0
2020,3,7,1,AS,8.0,3.0,152,50.0,59.0,2294.0,2168.0,-4397.0,-8651.0,2735.0,3051.0,778.0,132.0,628.0,127.0,503.0
2021,1,1,1,HA,2.0,0.0,50,22.0,33.0,808.0,1149.0,-953.0,-1618.0,1068.0,1625.0,848.0,188.0,8.0,15.0,90.0
2021,4,11,3,NK,4.0,2.0,477,292.0,273.0,16147.0,14457.0,9874.0,-4127.0,18041.0,16297.0,5147.0,73.0,4700.0,101.0,4436.0
2021,2,4,3,YV,2.0,4.0,200,200.0,267.0,14569.0,16218.0,8515.0,1516.0,15241.0,17535.0,3442.0,586.0,5060.0,43.0,7087.0
2021,2,6,6,F9,30.0,6.0,398,531.0,522.0,38360.0,38483.0,34505.0,28555.0,39744.0,40325.0,11250.0,2502.0,7859.0,0.0,16872.0
2021,2,6,6,NK,7.0,10.0,391,519.0,531.0,31718.0,31751.0,28547.0,17783.0,33924.0,34067.0,7383.0,1691.0,11197.0,476.0,11004.0
2020,2,4,2,OH,986.0,0.0,238,36.0,31.0,2461.0,2029.0,-7084.0,-24929.0,2742.0,2336.0,1712.0,0.0,214.0,0.0,103.0
2022,2,5,2,YX,101.0,4.0,463,917.0,992.0,57962.0,59896.0,40022.0,16104.0,61226.0,65207.0,19843.0,729.0,14010.0,30.0,25284.0
2021,2,6,6,AA,319.0,42.0,727,2748.0,2624.0,212677.0,206661.0,205988.0,150051.0,223074.0,215771.0,78682.0,13539.0,31440.0,697.0,82303.0
2021,3,9,5,YV,8.0,4.0,288,290.0,294.0,20114.0,19723.0,15223.0,3105.0,21691.0,21172.0,5979.0,3078.0,3581.0,0.0,7085.0
2020,2,6,5,B6,4.0,3.0,154,91.0,109.0,6107.0,6588.0,1295.0,-2373.0,6666.0,7180.0,3546.0,33.0,1009.0,8.0,1992.0
2021,2,4,5,F9,2.0,3.0,393,411.0,415.0,24918.0,24601.0,17619.0,8293.0,26643.0,26756.0,9670.0,599.0,4963.0,0.0,9369.0
2021,1,3,1,OH,4.0,3.0,220,146.0,134.0,10539.0,8913.0,-3402.0,-27220.0,11612.0,10665.0,4038.0,298.0,830.0,46.0,3701.0
2021,1,3,3,AA,77.0,23.0,520,884.0,936.0,78610.0,81667.0,53948.0,-10856.0,83401.0,86350.0,26070.0,5273.0,32341.0,291.0,17692.0
2021,1,3,2,B6,5.0,0.0,233,144.0,120.0,7570.0,6541.0,-1185.0,-19778.0,8779.0,7459.0,4504.0,8.0,641.0,68.0,1320.0
2020,3,7,7,DL,47.0,10.0,423,353.0,422.0,23989.0,25210.0,6917.0,-6510.0,27014.0,29762.0,16764.0,625.0,4079.0,0.0,3742.0
2022,1,1,6,WN,1122.0,30.0,1592,3115.0,2556.0,147443.0,129940.0,140809.0,18889.0,167308.0,143583.0,52441.0,1171.0,20811.0,609.0,54908.0
2022,4,10,6,YX,10.0,1.0,393,213.0,250.0,11590.0,11497.0,-2927.0,-24113.0,12846.0,13671.0,5449.0,299.0,2369.0,25.0,3355.0
2022,4,11,3,G4,15.0,5.0,516,175.0,209.0,15332.0,16662.0,12616.0,12429.0,16123.0,17630.0,6059.0,1144.0,2370.0,0.0,7089.0
2022,4,11,1,MQ,7.0,1.0,352,282.0,347.0,14774.0,16015.0,7976.0,-999.0,16683.0,18690.0,6551.0,137.0,3187.0,13.0,6127.0
2022,1,3,5,QX,31.0,2.0,162,111.0,109.0,4632.0,4388.0,2288.0,-820.0,5697.0,5797.0,1994.0,69.0,489.0,49.0,1787.0
2022,3,7,4,AA,286.0,31.0,754,2869.0,3019.0,225682.0,229535.0,212746.0,179552.0,236683.0,241162.0,87560.0,10808.0,33216.0,286.0,97665.0
2022,3,8,3,G4,3.0,3.0,245,129.0,163.0,8945.0,10601.0,6251.0,7255.0,9629.0,11392.0,2897.0,2362.0,1682.0,83.0,3577.0
2023,4,10,6,DL,14.0,13.0,866,1038.0,970.0,71272.0,63902.0,44298.0,-42766.0,78783.0,71050.0,37837.0,1209.0,7190.0,169.0,17497.0
2023,4,10,6,OO,72.0,7.0,947,893.0,1019.0,82173.0,84313.0,55577.0,23065.0,86228.0,89980.0,56310.0,9502.0,2081.0,23.0,16397.0
2023,3,7,6,9E,71.0,6.0,331,502.0,504.0,41484.0,41416.0,36687.0,19434.0,43674.0,43173.0,13320.0,1226.0,12330.0,0.0,14540.0
2024,2,5,4,UA,225.0,63.0,807,2732.0,2878.0,237334.0,239246.0,220175.0,171992.0,248095.0,250284.0,55895.0,26135.0,50272.0,36.0,106908.0
2020,1,1,4,G4,2.0,2.0,384,286.0,294.0,14635.0,14929.0,6381.0,2304.0,15969.0,16796.0,6416.0,774.0,2117.0,46.0,5576.0
2020,4,11,7,WN,72.0,26.0,1210,575.0,486.0,28744.0,23498.0,-9883.0,-129346.0,35261.0,28793.0,13186.0,357.0,3919.0,87.0,5949.0
2020,4,12,4,F9,19.0,1.0,320,91.0,100.0,3518.0,3667.0,-3954.0,-11292.0,4177.0,4691.0,1417.0,101.0,1403.0,0.0,746.0
2020,1,2,6,EV,0.0,0.0,258,94.0,93.0,5449.0,4981.0,-3544.0,-17489.0,5949.0,5923.0,1989.0,52.0,2265.0,0.0,675.0
2020,1,2,1,EV,0.0,6.0,243,123.0,150.0,8792.0,8913.0,302.0,-8340.0,9514.0,10312.0,2921.0,416.0,3760.0,0.0,1816.0
2020,3,9,2,YV,39.0,8.0,260,163.0,203.0,19656.0,20458.0,12357.0,3375.0,20315.0,21734.0,4994.0,6562.0,4753.0,0.0,4149.0
2021,1,1,4,9E,2.0,3.0,257,88.0,115.0,7460.0,7770.0,-5136.0,-33094.0,8017.0,8604.0,3620.0,1151.0,1586.0,0.0,1413.0
2021,4,11,7,MQ,2.0,4.0,419,361.0,371.0,19698.0,18809.0,11920.0,-11460.0,22733.0,21828.0,6033.0,993.0,2788.0,31.0,8964.0
2021,2,5,5,OO,6.0,12.0,990,760.0,930.0,56298.0,58996.0,29970.0,-9417.0,61811.0,66641.0,41527.0,7766.0,1171.0,502.0,8030.0
2024,3,9,2,F9,0.0,3.0,340,230.0,242.0,15280.0,14915.0,8150.0,856.0,16420.0,16316.0,4610.0,1837.0,1999.0,0.0,6469.0
2023,1,3,7,AS,16.0,7.0,339,563.0,637.0,28329.0,30462.0,22628.0,17380.0,31764.0,34182.0,7935.0,927.0,8881.0,693.0,12026.0
2023,2,5,3,OH,0.0,1.0,304,214.0,246.0,13495.0,13656.0,-771.0,-14465.0,15038.0,15777.0,5071.0,450.0,2258.0,178.0,5699.0
2021,3,8,5,9E,8.0,14.0,328,330.0,374.0,28272.0,29562.0,19119.0,2640.0,29992.0,31936.0,10916.0,2992.0,5150.0,31.0,10473.0
2024,4,11,3,F9,1.0,3.0,486,336.0,397.0,21180.0,23420.0,14141.0,9486.0,22719.0,25072.0,5040.0,362.0,7115.0,0.0,10903.0
2021,4,10,1,9E,0.0,6.0,366,379.0,408.0,30164.0,30856.0,20354.0,1624.0,31770.0,33230.0,11001.0,2992.0,5847.0,29.0,10987.0
2022,3,9,7,WN,46.0,46.0,1501,3816.0,3127.0,182088.0,159387.0,190291.0,82174.0,209464.0,176839.0,52207.0,4653.0,22681.0,362.0,79484.0
2021,4,12,1,9E,13.0,1.0,372,337.0,384.0,24191.0,25297.0,15221.0,-7337.0,26085.0,27815.0,10101.0,1674.0,6808.0,0.0,6714.0
